ieeg_subject	snsx_subject
sub-P002	sub-P022
sub-P003	sub-P026
sub-P016	sub-P029
sub-P004	sub-P032
sub-P001	sub-P046
sub-P007	sub-P048
sub-P009	sub-P049
sub-P013	sub-P051
sub-P018	sub-P052
sub-P022	sub-P054
sub-P021	sub-P055
sub-P023	sub-P056
sub-P065	sub-P058
sub-P067	sub-P059
sub-P068	sub-P060
sub-P069	sub-P061
sub-P078	sub-P070
sub-P079	sub-P071
sub-P081	sub-P080
sub-P082	sub-P081
sub-P083	sub-P087
sub-P086	sub-P089
sub-P087	sub-P090
sub-P088	sub-P092
sub-P091	sub-P095
sub-P093	sub-P097
sub-P095	sub-P100
